TUSS - FUNDAÇÃO SANEPAR
*** REFERENCIAL PARA COBRANÇA DE ATOS MÉDICOS, FISIOTERÁPICOS, ANÁLISES CLÍNICAS E ODONTOLOGIA, PRECIFICADA CONFORME ACORDOS COM AS ENTIDADES DE CLASSE.
*** PARA AS CONSULTAS MÉDICAS QUE NÃO FOREM ENCAMINHADAS POR MEIO ELETRÔNICO, SERÁ APLICADO O DEFLATOR DE R$ 10,64 (DEZ REAIS E SESSENTA E QUATRO CENTAVOS), SOBRE O PREÇO ESTABELECIDO.
Data da geração: 07/05/2020 16:51:53

Procedimento;Descrição;Autoriz. Prévia;Válido Desde;Valor Final;Porte;Peso;Filme;QTD. UCO;Num. de Auxiliares;Porte Anest.;Valor UCO;Valor Porte
20101074;AVALIACAO NUTROLOGICA (INCLUI CONSULTA);NÃO;01/09/2019;60,85;02B;1;0;0;0;0;0;60,85
20104197;SESSAO DE PSICOTERAPIA DE CASAL;NÃO;01/09/2019;65,61;03A;1;0;0;0;0;0;65,61
20104200;SESSAO DE PSICOTERAPIA DE GRUPO (POR PACIENTE);NÃO;01/09/2019;30,43;02A;1;0;0;0;0;0;30,43
20104219;SESSAO DE PSICOTERAPIA INDIVIDUAL;NÃO;01/09/2019;47,54;02C;1;0;0;0;0;0;47,54
20104227;SESSAO DE PSICOTERAPIA INFANTIL;NÃO;01/09/2019;47,54;02C;1;0;0;0;0;0;47,54
22007016;AVALIACAO PSICOLOGICA PARA ADMISSIONAL;NÃO;01/09/2019;190,18;02C;4;0;0;0;0;0;47,54
50000462;CONSULTA EM PSICOLOGIA;SIM;01/09/2019;47,54;02C;1;0;0;0;0;0;47,54
50000470;SESSAO DE PSICOTERAPIA INDIVIDUAL POR PSICOLOGO;SIM;01/09/2019;47,54;02C;1;0;0;0;0;0;47,54
50000489;SESSAO DE PSICOTERAPIA EM GRUPO POR PSICOLOGO;SIM;01/09/2019;65,61;03A;1;0;0;0;0;0;65,61
50000497;SESSAO DE PSICOTERAPIA EM CASAL POR PSICOLOGO;SIM;01/09/2019;65,61;03A;1;0;0;0;0;0;65,61
50000500;SESSAO DE PSICOTERAPIA FAMILIAR POR PSICOLOGO;SIM;01/09/2019;65,61;03A;1;0;0;0;0;0;65,61
